folder 1 airplane truck automobile cat 
folder 2 cat dog bird airplane 
folder 3 airplane bird truck cat 
folder 6 cat dog airplane bird 
folder 7 truck automobile cat ship 
folder 8 truck automobile cat dog 
folder 9 airplane ship bird automobile 
folder 10 cat bird dog horse 
folder 11 cat dog frog bird 
folder 12 cat dog airplane bird 
folder 13 truck automobile airplane cat 
folder 14 airplane cat truck deer 
folder 15 cat airplane bird deer 
folder 16 cat bird deer airplane 
folder 17 cat dog bird automobile 
folder 18 cat dog deer bird 
folder 19 cat deer bird frog 
folder 20 truck automobile horse cat 
folder 21 cat dog bird airplane 
folder 22 airplane airplane airplane airplane 
folder 23 cat dog bird airplane 
folder 25 cat dog frog bird 
folder 26 bird cat frog airplane 
folder 27 cat bird deer dog 
folder 28 bird cat deer dog 
folder 29 cat dog airplane airplane 
folder 30 cat bird deer frog 
folder 31 cat dog bird airplane 
